Service Capability,Region,Province,City,Barangay,Facility Name,,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,PAMPLONA UNO,CHRIST THE KING GENERAL HOSPITAL (Formerly CHRIST THE KING MATERNITY & LYING-IN HOSP., INC.),
N/A,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF PARA�AQUE,SAN ANTONIO,CITY EMPLOYEES CLINIC,,
N/A,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MUNTINLUPA,POBLACION,CITY HEALTH OFFICE,,
N/A,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF PARA�AQUE,SAN ANTONIO,CITY HEALTH OFFICE,,
N/A,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MUNTINLUPA,,CLINIC SYSTEMS INC.,,
Level 2,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),SANTA CRUZ,,CLINICA ARELLANO GEN HOSPITAL,
N/A,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,,COL. SALVADOR T. VILLA MEMORIAL HOSPITAL,,
Level 3,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,,
Level 1,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,SANTA MONICA,CRUZ-DALIDA MATERNITY HOSPITAL,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),TAGUIG,TUKTUKAN,CRUZ-RABE MATERNITY AND GENERAL HOSPITAL,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF PARA�AQUE,TAMBO,D.T. PROTACIO HOSPITAL,,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,E. RODRIGUEZ,DE LOS SANTOS MEDICAL CENTER,,
Level 2,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),CITY OF MANILA,,DE OCAMPO MEMORIAL MEDICAL CENTER,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MANDALUYONG,HIGHWAY HILLS,DHC HOMECARE CLINIC, INC.,
N/A,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MUNTINLUPA,POBLACION,DISTRICT II HEALTH CENTER,,
Level 1,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,DIVINE HEART MEDICAL SERVICE AND DEVELOPMENT COOPERATIVE (DIHMESCO HOSPITAL),,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MANDALUYONG,PLAINVIEW,DIVINE MERCY THE HOME THAT CARES INC,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MANDALUYONG,NEW ZA??IGA,DIVINE MERCY THE HOME THAT CARES, INC-BONI,
N/A,NCR,NCR, FOURTH DISTRICT (Not a Province),PASAY CITY,BARANGAY 147,DO�A MARTA LYING-IN,,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,DO??A JOSEFA,DR. FE DEL MUNDO MEDICAL CENTER,,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,KAMUNING,DR. JESUS C. DELGADO MEMORIAL HOSPITAL,,
Level 2,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),CITY OF MANILA,,DR. MIRANDO C. UNCIANO SR. MEDICAL CENTER,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,,DR. MONTANO G. RAMOS GENERAL HOSPITAL,,
Level 1,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,BAHAY TORO,DR. MONTANO G. RAMOS HOSPITAL,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),TAGUIG,LOWER BICUTAN,DR. SABILI HEALTH SERVICES CORP.,,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MANDALUYONG,HIGHWAY HILLS,DR. VICTOR R.  POTENCIANO MEDICAL CENTER,,
Level 1,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,TALON UNO,E. ZARATE GENERAL HOSPITAL,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,,ESTRELLAS NEX CARE, CO.,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,PARAISO,EXCELLENT COMMUNITY CARE CENTER,,
Level 1,NCR,NCR, THIRD DISTRICT (Not a Province),CITY OF VALENZUELA,MARULAS,F AND P HERNANDEZ MATERNITY AND LYING-IN CLINIC,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NEW ERA (CONSTITUTION HILLS),F.Y. MANALO MEDICAL FOUND., INC.- NEW ERA GENERAL HOSPITAL,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,FAIRVIEW,FAIRVIEW GENERAL HOSPITAL,,
Level 4,NCR,NCR, THIRD DISTRICT (Not a Province),CITY OF VALENZUELA,HEN. T. DE LEON,FATIMA UNIVERSITY MEDICAL CENTER, CORP.,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,FAIRVIEW,FEU-NRMF-MEDICAL CENTER,,
N/A,NCR,NCR, THIRD DISTRICT (Not a Province),CITY OF MALABON,TONSUYA,FRANCO CLINIC,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,EAST KAMIAS,FULL HOUSE CUSTODIAL CARE CENTER,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MARIKINA,MARIKINA HEIGHTS (CONCEPCION),GARCIA GENERAL HOSPITAL,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,COMMONWEALTH,GEN MIGUEL MALVAR MEDICAL FOUND HOSP,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,TALON SINGKO,GOLDEN ACRES DOCTORS HOSPITAL,,
Level 1,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,ROSARIO,HOLYLIFE HEALTHCARE CENTER,,
Level 4,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),SAMPALOC,,HOSPITAL OF THE INFANT JESUS,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,SAGAD,JAVILLONAR CLINIC & HOSPITAL,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MARIKINA,MARIKINA HEIGHTS (CONCEPCION),JESUS IMMACULATE CONCEPTION HOSPITAL,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,,JOHN F. COTTON HOSPITAL (CENTER FOR CORP. WELLNESS),,
Level 2,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,BARANGAY  26,JOHN PAUL HOSPITAL,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,,JP SIOSON GENERAL HOSPITAL AND COLLEGES, INC,
Level 1,NCR,NCR, THIRD DISTRICT (Not a Province),CITY OF VALENZUELA,HEN. T. DE LEON,KC CALDERON HOSPITAL,,
Level 2,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,BARANGAY  15,LADY OF LOURDES HOSPITAL OF CAYBIGA, INC.,
Level 3,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,TALON SINGKO,LAS PI�AS CITY MEDICAL CENTER,,
Level 4,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,PULANG LUPA DOS,LAS PI�AS DOCTORS HOSPITAL, INC.,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,KAMUNING,LIFE CHANGE RECOVERY CENTER INC,,
N/A,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MAKATI,,M-TECH MEDICAL HOSPITAL,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MAKATI,,MA. LOURDES MATERNITY HOSPITAL,,
Level 4,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MAKATI,PALANAN,MAKATI MEDICAL CENTER,,
Level 4,NCR,NCR, FOURTH DISTRICT (Not a Province),PASAY CITY,BARANGAY  35,MANILA ADVENTIST MEDICAL CENTER AND COLLEGES, INC.,
Level 4,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),ERMITA,BARANGAY 667,MANILA DOCTORS HOSPITAL,
N/A,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MAKATI,,MARIA LOURDES MATERNITY HOSPITAL,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MARIKINA,CONCEPCION UNO,MARIKINA ST VINCENT GENERAL HOSPITAL INC,,
Level 3,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MARIKINA,SANTO NI??O,MARIKINA VALLEY MEDICAL CENTER,,
Level 1,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,,MARKVIM HOSPITAL,,
Level 2,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,,MARTINEZ MEMORIAL HOSPITAL,,
Level 4,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),SAMPALOC,BARANGAY 404,MARY CHILES GENERAL HOSPITAL, INC.
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,BAGONG ILOG,MARY IMMACULATE HOSPITAL,,
Level 4,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),TONDO I / II,,MARY JOHNSTON HOSPITAL,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,MAYBUNGA,MCPC ST THERESE OF LISIEUX DOCTORS HOSPITAL,,
Level 4,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,,MCU-FDT MEDICAL FOUNDATION HOSPITAL,,
Level 4,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),ERMITA,,MEDICAL CENTER MANILA,
Level 4,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF PARA�AQUE,SAN ANTONIO,MEDICAL CENTER PARA�AQUE INC,0,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,MAYBUNGA,METRO PSYCH FACILITY,,
Level 4,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),TONDO I / II,,METROPOLITAN MEDICAL CENTER,
Level 1,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),MALATE,,MIRACULOUS MEDAL EMERGENCY MEDICAL CLINIC,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,ROSARIO,MISSION HOSPITAL,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,ROSARIO,MOTHER REGINA HOSPITAL,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MANDALUYONG,PLAINVIEW,MOTHER TERESAS HOME THAT CARES INC,,
Level 1,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,GREATER LAGRO,NEOPOLITAN MEDICAL MATERNITY CHILDREN'S AND LYING-IN CLINIC, INC.,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,,NEWMAN HOMECARE AND REHAB CENTER INC,,
Level 2,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,BARANGAY 175,NODADO GENERAL HOSPITAL,,
Level 1,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,NODADO GENERAL HOSPITAL,,
Level 2,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,,NORTH CALOOCAN DOCTORS HOSPITAL,,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,NOVALICHES GENERAL HOSPITAL,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF PARA�AQUE,SAN DIONISIO,OLIVAREZ GENERAL HOSPITAL,,
Level 2,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,,OUR LADY OF GRACE HOSPITAL,,
N/A,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),CITY OF MANILA,,OUR LADY OF LOURDES HOSPITAL INC.,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF PARA�AQUE,SAN DIONISIO,OUR LADY OF PEACE HOSPITAL,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,CULIAT,OVERSEAS CONTRACT WORKERS GENERAL HOSPITAL,,
Level 1,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MARIKINA,MALANDAY,P. GONZALES MEMORIAL HOSPITAL, INC,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,PAMPLONA UNO,PAMPLONA MEDICAL CLINIC,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,BAESA,PASCUAL GENERAL HOSPITAL,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,MANGGAHAN,PASIG MEDICAL & MATERNITY HOSPITAL FOUNDATION INC.,,
Level 1,NCR,NCR, THIRD DISTRICT (Not a Province),CITY OF VALENZUELA,PASOLO,PASOLO MATERNITY AND MEDICAL CLINIC, INC.,
Level 3,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),SAMPALOC,BARANGAY 470,PERPETUAL HELP HOSPITAL,
Level 2,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),SAMPALOC,BARANGAY 457,PERPETUAL SUCCOR HOSPITAL AND MATERNITY INC.,
N/A,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),CITY OF MANILA,,PRESIDENTIAL SECURITY GROUP STATION HOSPITAL,
Level 3,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,,Q.C. ST. AGNES GENERAL HOSPITAL, INC.,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,QUEENSBERRY HOSPITAL,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,E. RODRIGUEZ,QUEZON INSTITUTE,,
N/A,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,PAMPLONA UNO,RIVER OF LIFE,,
N/A,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,,RONN-CARMEL HOSPITAL & FERTILITY CONTROL CENTER,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,SAN NICOLAS (POB.),SABATER GENERAL HOSPITAL,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,DELA PAZ,SALVE REGINA GENERAL HOSPITAL INC.,,
Level 4,NCR,NCR, FOURTH DISTRICT (Not a Province),PASAY CITY,BARANGAY  76,SAN JUAN DE DIOS EDUCATIONAL FOUNDATION INC.,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,SAN LORENZO GENERAL HOSPITAL 1,,
Level 1,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,BARANGAY  24,SAN LORENZO HOSPITAL HEALTH MANAGEMENT CO., INC.,
Level 1,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MARIKINA,CONCEPCION DOS,SAN RAMON HOSPITAL,,
Level 1,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MUNTINLUPA,ALABANG,SAN ROQUE MEDICAL CLINIC,,
Level 2,NCR,NCR, THIRD DISTRICT (Not a Province),CITY OF VALENZUELA,MARULAS,SANTISSIMO ROSARIO GENERAL HOSPITAL,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MARIKINA,CONCEPCION DOS,SDS MEDICAL CENTER, INC.,
Level 4,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),INTRAMUROS,BARANGAY 657,SEAMEN'S HOSPITAL,
Level 3,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF PARA�AQUE,MARCELO GREEN VILLAGE,SOUTH SUPERHIGHWAY MEDICAL CENTER,,
Level 3,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MARIKINA,SAN ROQUE,ST. ANTHONY MEDICAL CENTER OF MARIKINA, INC.,
Level 3,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,,ST. CAMILLUS MEDICAL CENTER,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,MANGGAHAN,ST. CHRISTIANA MATERNITY HOSPITAL,,
Level 3,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MAKATI,PALANAN,ST. CLARE'S MEDICAL CENTER,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MARIKINA,SAN ROQUE,ST. JOHN THE BAPTIST HOSPITAL OF MARIKINA,,
N/A,NCR,NCR, THIRD DISTRICT (Not a Province),CITY OF VALENZUELA,MALINTA,ST. JOHN'S HOSPITAL,,
N/A,NCR,NCR, THIRD DISTRICT (Not a Province),NAVOTAS,,ST. JOSEPH MATERNITY & MEDICAL CLINIC,,
Level 4,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),SAMPALOC,,ST. JUDE HOSPITAL AND MEDICAL CENTER,
Level 3,NCR,NCR, FOURTH DISTRICT (Not a Province),TAGUIG,,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,E. RODRIGUEZ,ST. LUKES MEDICAL CENTER,,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),SAN JUAN,KABAYANAN,ST. MARTIN DE PORRES CHARITY HOSPITAL,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,MAYBUNGA,ST. THERESE HOSPITAL,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MARIKINA,MALANDAY,ST. VICTORIA HOSPITAL,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MARIKINA,TA�ONG,STA. MONICA GENERAL HOSPITAL,,
Level 3,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,,STA. TERESITA GENERAL HOSPITAL,,
N/A,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF PARA�AQUE,,STO. NI�O DE CEBU MATERNITY HOSPITAL,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,,SUNRISE HILL THERAPEUTIC COMMUNITY HOSP,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,,SUNSHINE.COM.INC,,
Level 1,NCR,NCR, FOURTH DISTRICT (Not a Province),TAGUIG,BAGUMBAYAN,TAGUIG DOCTORS HOSPITAL,,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,E. RODRIGUEZ,THE CLINIC OF THE HOLY SPIRIT INC,,
Level 4,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),SAMPALOC,,THE FAMILY CLINIC, INC.
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MANDALUYONG,HIGHWAY HILLS,THE MASTER'S TOUCH PSYCHIATRIC CUSTODIAL CARE FACILITY,,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,UGONG,THE MEDICAL CITY,,
Level 2,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),SANTA ANA,BARANGAY 888,TRINITY WOMAN CHILD CENTER THE BIRTHPLACE,
Level 3,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF PARA�AQUE,DON BOSCO,UHBI-PARA�AQUE DOCTOR'S HOSPITAL (former PARA�AQUE DOCTOR'S HOSPITAL),,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF MANDALUYONG,MALAMIG,UNCIANO GENERAL HOSPITAL,,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,DON MANUEL,UNITED DOCTORS MEDICAL CENTER,,
Level 4,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,PAMPLONA UNO,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER,,
Level 4,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),SAMPALOC,,UNIVERSITY OF SANTO TOMAS HOSPITAL,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,AURORA,UNIVERSITY OF THE EAST RAMON MAGSAYSAY MEMORIAL MEDICAL CENTER INC.,,
Level 1,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,VALDEZ PADRON HOSPITAL,,
Level 1,NCR,NCR, THIRD DISTRICT (Not a Province),CITY OF VALENZUELA,UGONG,VIAN FAMILY HOSPITAL,,
Level 1,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,VIAN FAMILY HOSPITAL II,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,TAGUMPAY,VILLAROSA HOSPITAL,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,WORD OF HOPE GENERAL HOSPITAL FOUNDATION, INC.,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,AURORA,WORLD CITI MEDICAL CENTER,,
