Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number
CAPRI HEALTH CENTER,Rural Health Unit,7270,Government,A-5 NARRA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CAPRI,
SAN NICOLAS HEALTH CENTER,Rural Health Unit,7271,Government,M.H. DEL PILAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN NICOLAS (POB.),+63 029002062
IBABA HEALTH CENTER,Rural Health Unit,7272,Government,TIANGCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,IBABA,+63 022838091
PROJECT 6 HEALTH CENTER,Rural Health Unit,7273,Government,ALLEY 3 CORNER ROAD 8,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PROJECT 6,
PANGHULO HEALTH CENTER,Rural Health Unit,7274,Government,PANGHULO ROAD CORNER AGUILAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,PANGHULO,
MAYSILO HEALTH CENTER,Rural Health Unit,7275,Government,M.H. DEL PILAR STREET YANGA,1477,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,MAYSILO,
PALTOK HEALTH CENTER,Rural Health Unit,7276,Government,14 MATIAS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PALTOK,
NAGKAISANG NAYON HEALTH CENTER,Rural Health Unit,7277,Government,"14 TERIO STREET, FB DE JESUS SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NAGKAISANG NAYON,
UGONG HEALTH CENTER,Rural Health Unit,7278,Government,"F. LEGASPI STREET, BARANGAY HALL COMPOUND",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,UGONG,+63 026714071
SAN ANTONIO HEALTH CENTER,Rural Health Unit,7279,Government,1 JUAN DE JESUS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN ANTONIO,
PROJECT 7 HEALTH CENTER,Rural Health Unit,7280,Government,39 BANSALANGIN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,VETERANS VILLAGE,
BAGONG LIPUNAN HEALTH CENTER,Rural Health Unit,7281,Government,LOS MATIREZ STREET,1485,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,SAN JOSE (POB.),
CATMON HEALTH CENTER,Rural Health Unit,7282,Government,SANCIANGCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,CATMON,
GENERAL ROXAS HEALTH CENTER,Rural Health Unit,7283,Government,GENERAL MADRE DE SILVA STREET CORNER JASMINE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,ROXAS,+63 023742615
GUADALUPE VIEJO HEALTH CENTER,Rural Health Unit,7284,Government,CAMIA STREET CORNER GUMAMELA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,GUADALUPE VIEJO,+63 028972995
ACACIA HEALTH CENTER,Rural Health Unit,7285,Government,MARIA CLARA STREET CORNER KAPITAN TIAGO,1474,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,ACACIA,
SAN ANTONIO HEALTH CENTER,Rural Health Unit,7287,Government,"7 GENERAL MALVAR STREET, SAN ANTONIO VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN ANTONIO,+63 026336133
TONSUYA HEALTH CENTER,Rural Health Unit,7288,Government,A. ROQUE STREET,1473,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,TONSUYA,+63 023518038
SAN JOSE HEALTH CENTER,Rural Health Unit,7289,Government,27 TINAGAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN JOSE,
SAN AGUSTIN HEALTH CENTER,Rural Health Unit,7290,Government,LUNA I STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,SAN AGUSTIN,
RIVERA HEALTH CENTER,Barangay Health Station,7291,Government,RIVERA CORNER KATUBUSAN STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,RIVERA,+63 027443891
SAN PERFECTO HEALTH CENTER,Barangay Health Station,7292,Government,SAN PERFECTO STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,SAN PERFECTO,+63 027237027
ERMITAÑO HEALTH CENTER,Barangay Health Station,7293,Government,185 F. SANTOS STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,ERMITA??O,+63 027442015
BAGONG KATIPUNAN HEALTH CENTER,Rural Health Unit,7294,Government,14 A. BONIFACIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BAGONG KATIPUNAN,
CONCEPCION HEALTH CENTER,Rural Health Unit,7296,Government,LIWAYWAY STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MARULAS,+63 024450672
SAN JOAQUIN HEALTH CENTER,Rural Health Unit,7297,Government,4D ELISCO ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN JOAQUIN,+63 026439657
DAMPALIT HEALTH CENTER,Rural Health Unit,7298,Government,"1 DIAZ STREET, MERVILLE SUBDIVISION",1480,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,DAMPALIT,+63 022814999
ORANBO HEALTH CENTER,Rural Health Unit,7299,Government,ORANBO DRIVE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ORANBO,+63 026359027
SAN ANTONIO HEALTH CENTER,Rural Health Unit,7300,Government,CULTURAL LANE AREA 2 FOURTH ESTATE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN ANTONIO,+63 027760751
CUBAO HEALTH CENTER,Rural Health Unit,7301,Government,22 BANAHAW STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KAUNLARAN,
CULIAT HEALTH CENTER (WENCESLAO DELA PAZ),Rural Health Unit,7302,Government,"SANTA FELICIA STREET, SAN ANTONIO HOMES",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CULIAT,+63 029314965
BAESA HEALTH CENTER,Rural Health Unit,7303,Government,MENDEZ ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAESA,
TORO HILLS HEALTH CENTER,Rural Health Unit,7304,Government,"ROAD 11, PROJECT 8",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAHAY TORO,+63 023522486
TINAJEROS HEALTH CENTER,Rural Health Unit,7308,Government,CRISPIN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,TINAJEROS,
TANZA HEALTH CENTER,Rural Health Unit,7309,Government,93 SILAHIS STREET,1490,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,TANZA,
TUGATOG HEALTH CENTER,Rural Health Unit,7310,Government,ECONOMIA STREET CORNER INDUSTRIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,TUGATOG,+63 022850732
SAN ROQUE HEALTH CENTER,Rural Health Unit,7311,Government,GOVERNOR PASCUAL STREET,1485,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,SAN ROQUE,
BAGUMBAYAN NORTH HEALTH CENTER,Rural Health Unit,7329,Government,C4 ROAD,1485,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,BAGUMBAYAN NORTH,
MALIGAYA HEALTH CENTER,Rural Health Unit,7330,Government,"PECHAYAN STREET, MALIGAYA PARK SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PASONG PUTIK PROPER (PASONG PUTIK),
MALINAO HEALTH CENTER,Rural Health Unit,7333,Government,TATCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MALINAO,+63 026416672
BATIS HEALTH CENTER,Rural Health Unit,7339,Government,428 F. MANALO STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,BATIS,+63 027000830
NATIONAL GOVERNMENT CENTER,Rural Health Unit,7341,Government,MRB PILOT AREA,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,COMMONWEALTH,
NATIONAL CENTER FOR MENTAL HEALTH,Hospital,7359,Government,"9 DE PEBRERO STREET,",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,MAUWAY,+63 025319001
AMADO T. REYES HEALTH CENTER,Rural Health Unit,7460,Government,A. LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,BUROL,
PARANG HEALTH CENTER,Rural Health Unit,7461,Government,LAKANDULA STREET COR. M.L. QUEZON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,PARANG,+63 029430463
ALABANG MEDICAL CLINIC - MUNTINLUPA BRANCH,Hospital,7497,Private,NUMBER 1 NATIONAL ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,PUTATAN,+63 028611135
DIVINE MERCY THE HOME THAT CARES INC,Hospital,7506,Private,515 KATARUNGAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLAINVIEW,+63 025326995
GARCIA GENERAL HOSPITAL,Hospital,7507,Private,"49 BAYAN-BAYANAN AVENUE, MARIKINA HEIGHTS",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,MARIKINA HEIGHTS (CONCEPCION),+63 029415511
NOVALICHES DISTRICT HOSPITAL,Hospital,7515,Government,QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN BARTOLOME,+63 024185900
NOVALICHES GENERAL HOSPITAL,Hospital,7516,Private,793 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,GULOD,+63 024185900
QUIRINO MEMORIAL MEDICAL CENTER,Hospital,7520,Government,"J. P. RIZAL CORNER P. TUAZON STREET, PROJECT 4, KATIPUNAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,MARILAG,+63 029134758
STA. MONICA GENERAL HOSPITAL,Hospital,7524,Private,138 A. BONIFACIO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,TAÑONG,+63 029978819
BAGUMBONG HEALTH CENTER,Rural Health Unit,7530,Government,BAGUMBONG ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 171,
CUYEGKENG HEALTH CENTER,Rural Health Unit,7531,Government,CUYEGKENG STREET CORNER LAYUG STREET,1300,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 3,+63 025265283
GEN. T. DE LEON HEALTH CENTER I,Rural Health Unit,7532,Government,RAFAEL ALBA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,HEN. T. DE LEON,+63 022779614
MAYSAN HEALTH CENTER,Rural Health Unit,7535,Government,TONGCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MAYSAN,+63 024453820
URBANVILLE HEALTH CENTER,Rural Health Unit,7542,Government,URBANVILLE SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON TRES,+63 028005533
VALENZUELA PHYSICAL THERAPY CENTER,Rural Health Unit,7543,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,,
COMEMBO HEALTH CENTER,Rural Health Unit,7662,Government,ANAHAW STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,COMEMBO,
PINAGBUHATAN HEALTH CENTER,Rural Health Unit,7667,Government,URBANO VELASCO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PINAGBUHATAN,
FULL HOUSE CUSTODIAL CARE CENTER,Hospital,7979,Private,150 K-6TH STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,EAST KAMIAS,
SAN LORENZO GENERAL HOSPITAL,Hospital,7980,Private,QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PASONG PUTIK PROPER (PASONG PUTIK),+63 029397054
NODADO GENERAL HOSPITAL,Hospital,7981,Private,23 ZABARTE SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KALIGAYAHAN,+63 024171376
"DHC HOMECARE CLINIC, INC.",Hospital,7983,Private,404 CALBAYOG,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HIGHWAY HILLS,
"DIVINE MERCY THE HOME THAT CARES, INC-BONI",Hospital,7984,Private,453 BONI AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,NEW ZA??IGA,
THE MASTER'S TOUCH PSYCHIATRIC CUSTODIAL CARE FACILITY,Hospital,7985,Private,438 CALBAYOG STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HIGHWAY HILLS,
HOLYLIFE HOSPITAL,Hospital,7986,Private,"LOT 2 BLOCK 4 PRES. QUEZON AVE., LIFE HOMES SUBDV.",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ROSARIO,+63 027483501
ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,Hospital,7987,Private,"BLOCK 16 LOT 18, CRESCENT PARK, RIZAL DRIVE, CORNER 32ND STREET BONIFACIO GLOBAL CITY",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,FORT BONIFACIO,+63 027897700
DR. MONTANO G. RAMOS GENERAL HOSPITAL,Hospital,7993,Private,141 MINDANAO AVE.,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAHAY TORO,+63 024533952
"ESTRELLAS NEX CARE, CO.",Hospital,7994,Private,175 KAMIAS ROAD QUIRINO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,
AURORA QUEZON HEALTH CENTER,Rural Health Unit,8218,Government,459 FRANCISCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 84,+63 022545064
AYALA-ALABANG HEALTH CENTER,Barangay Health Station,8257,Government,ALABANG TOWN CENTER,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,
BAESA HEALTH CENTER,Rural Health Unit,8275,Government,356 ROSE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 159,
BAGBAGUIN HEALTH CENTER,Rural Health Unit,8279,Government,1 GENERAL LUIS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,BAGBAGUIN,+63 029859926
BAGONG BARRIO LYING-IN CLINIC,Rural Health Unit,8307,Government,"PIONEER STREET, BARANGAY HALL",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 148,
BAGONG SILANG HEALTH CENTER,Rural Health Unit,8369,Government,J. LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,BAGONG SILANG,+63 025316019
BAGONG SILANG PHASE 7 HEALTH CENTER,Rural Health Unit,8406,Government,BAGONG SILANG PHASE 7,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,
BAGONG SILANG PHASE 8 HEALTH CENTER,Rural Health Unit,8417,Government,BAGONG SILANG PHASE 8,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,
BALAGTAS HEALTH CENTER,Barangay Health Station,8466,Government,1F FLORANTE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA UNO,+63 024036994
BALUBARAN BARANGAY HEALTH STATION,Barangay Health Station,8498,Government,"SALUD STREET, EDEN COURT",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MALINTA,+63 023813713
BAMBANG BARANGAY HEALTH STATION,Barangay Health Station,8503,Government,"J. POZON STREET, BAMBANG",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",CITY OF MANILA,,
BAMBANG HEALTH CENTER,Rural Health Unit,8507,Government,23 MASTRILI STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,BAMBANG,
BANGKAL HEALTH CENTER,Rural Health Unit,8510,Government,P. BINAY STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,BANGKAL,+63 028018750
BARANGAY 118/120 HEALTH CENTER,Rural Health Unit,8558,Government,"2ND STREET, 2ND AVENUE, GRACE PARK",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 120,
BARANGAY 14 HEALTH CENTER,Rural Health Unit,8562,Government,"PAMPANO STREET, DAGAT-DAGATAN",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 14,
BARANGAY 178-A HEALTH CENTER,Rural Health Unit,8568,Government,CAMARIN ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 178,
BARANGAY 178-B HEALTH CENTER,Rural Health Unit,8573,Government,"SAN ISIDRO, CAMARIN D.",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 178,
BARANGAY 18 HEALTH CENTER,Rural Health Unit,8575,Government,LIBIS NADURATA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 18,
BISIG HEALTH CENTER,Rural Health Unit,8740,Government,M. AQUINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,BISIG,
BITIK BARANGAY HEALTH STATION,Barangay Health Station,8753,Government,"SITIO BITIK, GEN. T. DE LEON",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,HEN. T. DE LEON,
BLOCK 37 (WELFAREVILLE) HEALTH CENTER,Rural Health Unit,8760,Government,PANATAG ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,ADDITION HILLS,+63 026249293
BLOCK 38 (WELFAREVILLE) HEALTH CENTER,Rural Health Unit,8782,Government,"BLOCK 38, FABELLA STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,ADDITION HILLS,
CABATUHAN HEALTH CENTER,Rural Health Unit,8912,Government,SITIO KABATUHAN,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,HEN. T. DE LEON,
CARLOS CLINIC,Hospital,9011,Private,85 PALASAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PALASAN,
CEMBO HEALTH CENTER,Rural Health Unit,9050,Government,BANABA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,CEMBO,+63 026596152
MUNTINLUPA CITY HEALTH OFFICE,Rural Health Unit,9088,Government,"Ground Floor, Contessa Building",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,POBLACION,
DEPARO HEALTH CENTER,Rural Health Unit,9360,Government,DEPARO ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 168,+63 024895011
DOÑA NENA HEALTH CENTER,Rural Health Unit,9473,Government,"CHEST CLINIC COMPOUND, AURORA BOULEVARD",1301,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 186,+63 028532704
CENTRAL BICUTAN HEALTH CENTER DPWH,Rural Health Unit,9483,Government,INSIDE DPWH COMPOUND SUNFLOWER STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,CENTRAL BICUTAN,
DR. ELVIRA M. LAGROSA HEALTH CENTER,Rural Health Unit,9489,Government,"PASAY CITY SPORTS COMPLEX, FB HARRISON",1300,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 76,+63 025511652
FRANCO CLINIC,Hospital,10850,Private,LETRE ROAD,1473,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,TONSUYA,
GEN. T. DE LEON HEALTH CENTER II,Rural Health Unit,10913,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,HEN. T. DE LEON,+63 024449249
GRACE PARK HEALTH CENTER,Rural Health Unit,10951,Government,"171 3RD STREET, GRACE PARK EAST",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 86,
HULONG DUHAT HEALTH CENTER,Rural Health Unit,11474,Government,B. BAUTISTA BOULEVARD CORNER M. BLAS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,HULONG DUHAT,+63 024468202
ILAYA HEALTH CENTER,Barangay Health Station,11604,Government,BALITE - TRAMO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ILAYA,+63 028292482
MERALCO CORPORATE WELLNESS CENTER,Hospital,11655,Private,"MERALCO COMPOUND, ORTIGAS AVE.",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,,+63 026328796
MAYOR JUAN R. SANCHEZ MEMORIAL HEALTH CENTER,Rural Health Unit,11696,Government,"P. ROSALES STREET, SANTA ANA (KALIWA)",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PATEROS,SANTA ANA,+63 026410614
JULIAN FELIPE HEALTH CENTER,Rural Health Unit,11699,Government,"JULIAN FELIPE STREET, SANGANDAAN",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 8,
EMERGENCY CARE CLINIC,Rural Health Unit,11720,Government,SOUTHVILLE 3 POBLACION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,POBLACION,
OLD LOWER BICUTAN HEALTH CENTER,Rural Health Unit,11889,Government,"PUROK 5, MANUEL L. QUEZON STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,LOWER BICUTAN,
MAKABAYAN HEALTH CENTER,Rural Health Unit,11982,Government,BARANGKA DRIVE CORNER BUMATAY STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,BARANGKA DRIVE,
MALARIA HEALTH CENTER,Rural Health Unit,12082,Government,"ASCOVILLE, MALARIA",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 185,
MARULAS HEALTH CENTER,Rural Health Unit,12251,Government,"RAJAH SULAIMAN ST., MARULAS",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 36,
NAPINDAN HEALTH CENTER,Rural Health Unit,12429,Government,PUROK 1 NAPINDAN,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,NAPINDAN,
NORTH DAANG HARI HEALTH CENTER,Rural Health Unit,12454,Government,14 ROAD 1,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,NORTH DAANG HARI,
NORTHVILLE I HEALTH CENTER,Rural Health Unit,12457,Government,BLOCK 9 LOT 10,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,BIGNAY,
NORTHVILLE II HEALTH CENTER,Rural Health Unit,12462,Government,BLOCK 10 LOT 13,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,BIGNAY,
