"collection1"
"Facility Name","Type","Health Facility Code","Classification","Street Name and #","Zip Code","Region","Province","City/Municipality","Barangay Name","Landline Number","index","url"
"CONCEPCION DOS HEALTH CENTER","Rural Health Unit","197","Government","CORNER LILAC STREET AND RAINBOW STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","CITY OF MARIKINA","CONCEPCION DOS","+63 029420563","11","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"MAYOR MOISES R. FLORES MEMORIAL HEALTH CENTER","Rural Health Unit","199","Government","P. HERRERA STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT (Not a Province)","PATEROS","SAN PEDRO","+63 026433486","12","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"PEOPLE'S HEALTH CENTER AND LYING IN CLINIC","Rural Health Unit","200","Government","SAN JOSE STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","CITY OF MANDALUYONG","HULO","","13","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"QUINTIN DE BORJA HEALTH CENTER","Rural Health Unit","201","Government","E. QUIOGUE STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT (Not a Province)","PATEROS","AGUHO","+63 026424783","14","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"TAÑONG HEALTH CENTER","Rural Health Unit","202","Government","ROAD 1","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","CITY OF MARIKINA","TAÑONG","+63 029485775","15","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"BABARAN-ECHAVEZ MEDICAL & PSYCHIATRIC CLINIC","Hospital","394","Private","1125 AMPARO STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT (Not a Province)","CITY OF MUNTINLUPA","POBLACION","+63 028613066","16","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"ALABANG MEDICAL CENTER","Hospital","403","Private","ALABANG-ZAPOTE ROAD","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT (Not a Province)","CITY OF MUNTINLUPA","ALABANG","+63 028508719","17","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"ASIAN HOSPITAL AND MEDICAL CENTER","Hospital","410","Private","2205 CIVIC DRIVE, FILINVEST CORPORATE CITY","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT (Not a Province)","CITY OF MUNTINLUPA","ALABANG","+63 027719000","18","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"BAESA ADVENT POLYCLINIC & GENERAL HOSPITAL","Hospital","416","Private","238 RETIRO STREET, BAESA ROAD 1400","","NATIONAL CAPITAL REGION (NCR)","NCR, THIRD DISTRICT (Not a Province)","KALOOKAN CITY","BARANGAY 158","","19","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"BERMUDEZ POLYMEDIC HOSPITAL","Hospital","429","Private","391 MALARIA ROAD, ZONE 6 DISTRICT 1 TALA","","NATIONAL CAPITAL REGION (NCR)","NCR, THIRD DISTRICT (Not a Province)","KALOOKAN CITY","BARANGAY 185","+63 029613229","20","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
