FacilityName,Type,HealthFacilityCode,Classification,StreetNameAndNo,ZipCode,BarangayName,LandlineNumber,lon,lat,level,PRCP,BedSpace,OpRoom,RecRoom,MatWard,IsoRoom,dental,blood,pathology,radiology,pharmacy,CMDCDH_2,Spec1,ICU,NICU,HRPU,RTS,TerClin,MobX,Teach_3,PRU,ASC,Dialysis,BBank,Hispa,radiology3,HIVTreat,HIVTest,City
Malinta Health Center,Rural Health Unit,6911,Government,Saint Jude Subdivision,0,Malinta,+63 024451406,120.9641549,14.6890818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valenzuela
Mapulang Lupa Health Center (Main),Rural Health Unit,6912,Government,Santo Rosario Street,0,Mapulang Lupa,+63 029843248,121.0034046,14.7018712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valenzuela
Palasan Health Center,Rural Health Unit,6913,Government,F. Lozada Street,0,Palasan,+63 022779619,120.9489091,14.7021317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valenzuela
East Rembo Health Center,Rural Health Unit,6986,Government,"Multipurpose Building, 23Rd Avenue",0,East Rembo,+63 028833361,121.0626294,14.5517915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Makati
F. Lanuza Health Center,Rural Health Unit,7021,Government,1533 Alvarez Street,0,Barangay 334,+63 027119872,120.9801688,14.6123606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
Escopa Health Center,Rural Health Unit,7029,Government,J. P. Burgos Street,0,Escopa I,+63 029138846,121.0956068,14.6362977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Salapan Health Center,Rural Health Unit,7035,Government,35 J. Ruiz Street,1500,Salapan,+63 027440346,121.024977,14.6120282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Juan
Balong Bato Health Center,Barangay Health Station,7043,Government,19 F. Roman Street,1500,Balong-Bato,+63 027239561,121.024026,14.6071414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Juan
Doña Betang Health Center,Rural Health Unit,7062,Government,Kalakham Corner Kalupi Street Doña Betang Subdivision,0,Santolan,0,121.0879674,14.6130735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
San Lorenzo Ruiz Women'S Hospital,Hospital,7064,Government,"Rosita Subdivision, O. Reyes Street",1478,Santolan,+63 029448535,120.9582324,14.6897504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
Kahilum Health Center,Rural Health Unit,7124,Government,Feliz Street Kahilum I,0,Barangay 870,+63 025648401,121.0050176,14.5837075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
Payatas A Health Center,Rural Health Unit,7146,Government,0,0,Payatas,0,121.09935,14.7091169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Banlat Health Center,Rural Health Unit,7165,Government,"Daffodil Street, Del Nacia 1",0,Tandang Sora,+63 024913362,121.0421102,14.6819218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Kaunlaran Village Health Center,Rural Health Unit,7250,Government,"Bangus Street, Phase I Dagat Dagatan",1409,"North Bay Blvd., South",0,120.9559284,14.6417937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Navotas
Maybunga Floodway Health Center,Rural Health Unit,7254,Government,Westbank Road Corner F. Legaspi Extension,0,Maybunga,0,121.0850494,14.5762821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
Fairview Health Center,Rural Health Unit,7256,Government,Dahlia Street,0,Fairview,+63 029300040,121.049018,14.7110086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Santolan Health Center,Rural Health Unit,7257,Government,San Diego Street,1478,Santolan,+63 022814999,120.9582324,14.6897504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
Niugan Health Center,Rural Health Unit,7258,Government,N. Vicencio Street,0,Niugan,0,120.955261,14.6677722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
Apolonio Samson Health Center,Rural Health Unit,7259,Government,150 Kaingin Road,0,Apolonio Samson,0,121.009752,14.6504927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Gulod Health Center,Rural Health Unit,7260,Government,27 Villaflor Village,0,Gulod,0,121.0389062,14.7118847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Flores Health Center,Rural Health Unit,7263,Government,Nueva Street,1471,Flores,+63 022822227,120.943229,14.6737949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
Longos Health Center,Rural Health Unit,7264,Government,Hito Street,1472,Longos,0,120.9613471,14.6507322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
Muzon Health Center,Rural Health Unit,7266,Government,2 Karunungan Street,1479,Muzon,0,120.9500687,14.6762919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
San Miguel Health Center,Rural Health Unit,7267,Government,Market Avenue,0,San Miguel,0,121.0859757,14.5680549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
San Miguel Health Center,Rural Health Unit,7267,Government,Market Avenue,0,San Miguel,0,121.0859757,14.5680549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taguig
San Miguel Health Center,Rural Health Unit,7267,Government,Market Avenue,0,San Miguel,0,121.0859757,14.5680549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
San Miguel Health Center,Rural Health Unit,25811,Government,Seagull Avenue,0,San Miguel,0,121.0761276,14.5169098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
San Miguel Health Center,Rural Health Unit,25811,Government,Seagull Avenue,0,San Miguel,0,121.0761276,14.5169098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taguig
San Miguel Health Center,Rural Health Unit,25811,Government,Seagull Avenue,0,San Miguel,0,121.0761276,14.5169098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
San Miguel Health Center,Rural Health Unit,893,Government,3312 N. Padilla,0,Barangay 645,+63 027360360,120.99045,14.59246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
San Miguel Health Center,Rural Health Unit,893,Government,3312 N. Padilla,0,Barangay 645,+63 027360360,120.99045,14.59246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taguig
San Miguel Health Center,Rural Health Unit,893,Government,3312 N. Padilla,0,Barangay 645,+63 027360360,120.99045,14.59246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
La Loma Health Center,Rural Health Unit,7268,Government,225 Mariveles Street,0,Paang Bundok,0,120.9909157,14.6272329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Bayan-Bayanan Health Center,Rural Health Unit,7269,Government,117 Celia Street,0,Bayan-Bayanan,0,120.9698964,14.6703279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
Capri Health Center,Rural Health Unit,7270,Government,A-5 Narra Street,0,Capri,0,121.0288757,14.7128711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
San Nicolas Health Center,Rural Health Unit,7271,Government,M.H. Del Pilar Street,0,San Nicolas (Pob.),+63 029002062,121.0804452,14.5608541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
San Nicolas Health Center,Rural Health Unit,7271,Government,M.H. Del Pilar Street,0,San Nicolas (Pob.),+63 029002062,121.0804452,14.5608541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
San Nicolas Health Center,Rural Health Unit,897,Government,521 Asuncion Street,0,Barangay 285,+63 022433593,120.9708451,14.5989573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
San Nicolas Health Center,Rural Health Unit,897,Government,521 Asuncion Street,0,Barangay 285,+63 022433593,120.9708451,14.5989573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
Ibaba Health Center,Rural Health Unit,7272,Government,Tiangco Street,0,Ibaba,+63 022838091,120.9512351,14.6648807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
Project 6 Health Center,Rural Health Unit,7273,Government,Alley 3 Corner Road 8,0,Project 6,0,121.0409915,14.6617793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Panghulo Health Center,Rural Health Unit,7274,Government,Panghulo Road Corner Aguilar Street,0,Panghulo,0,120.9517779,14.6861671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
Maysilo Health Center,Rural Health Unit,7275,Government,M.H. Del Pilar Street Yanga,1477,Maysilo,0,120.9575153,14.6775532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
Paltok Health Center,Rural Health Unit,7276,Government,14 Matias Street,0,Paltok,0,121.021844,14.642568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Nagkaisang Nayon Health Center,Rural Health Unit,7277,Government,"14 Terio Street, Fb De Jesus Subdivision",0,Nagkaisang Nayon,0,121.0234757,14.719623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Ugong Health Center,Rural Health Unit,7278,Government,"F. Legaspi Street, Barangay Hall Compound",0,Ugong,+63 026714071,121.0725732,14.5829434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
Ugong Health Center,Rural Health Unit,7278,Government,"F. Legaspi Street, Barangay Hall Compound",0,Ugong,+63 026714071,121.0725732,14.5829434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valenzuela
