,Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number,lon,lat
13,QUINTIN DE BORJA HEALTH CENTER,Rural Health Unit,201.0,Government,E. QUIOGUE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PATEROS,AGUHO,+63 026424783,121.0625148,14.543509
14,TAÑONG HEALTH CENTER,Rural Health Unit,202.0,Government,ROAD 1,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,TAÑONG,+63 029485775,121.0862565,14.632859
15,BABARAN-ECHAVEZ MEDICAL & PSYCHIATRIC CLINIC,Hospital,394.0,Private,1125 AMPARO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,POBLACION,+63 028613066,121.0499441,14.389283
16,ALABANG MEDICAL CENTER,Hospital,403.0,Private,ALABANG-ZAPOTE ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,+63 028508719,121.0394037,14.4214679
17,ASIAN HOSPITAL AND MEDICAL CENTER,Hospital,410.0,Private,"2205 CIVIC DRIVE, FILINVEST CORPORATE CITY",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,+63 027719000,121.0476194,14.4170343
18,BAESA ADVENT POLYCLINIC & GENERAL HOSPITAL,Hospital,416.0,Private,"238 RETIRO STREET, BAESA ROAD 1400",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 158,,121.0058057,14.6713258
19,BERMUDEZ POLYMEDIC HOSPITAL,Hospital,429.0,Private,"391 MALARIA ROAD, ZONE 6 DISTRICT 1 TALA",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 185,+63 029613229,121.0757883,14.7694849
20,BERNARDINO GENERAL HOSPITAL II,Hospital,430.0,Private,"BLOCK 1, LOT 2, NORTH OLYMPUS SUBDIVISION, ZABARTE ROAD",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KALIGAYAHAN,+63 029355262,121.0475122,14.7370828
21,CASAUL GENERAL HOSPITAL INC.,Hospital,443.0,Private,16 TANDANG SORA AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANGANDAAN,+63 029301190,121.021289,14.679801
22,CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,Hospital,446.0,Private,286 BLUMENTRIT STREET,1003.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,BARANGAY 372,+63 027114141,120.9855947,14.6240548
23,CHRIST THE KING GENERAL HOSPITAL,Hospital,447.0,Private,130 REAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA UNO,+63 028731119,0.0,0.0
24,CRUZ-DALIDA MATERNITY HOSPITAL,Hospital,462.0,Private,"1025 F. SALVADOR, JORDAN PLAINS",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA MONICA,+63 024174080,121.0475412,14.7149229
25,DE OCAMPO MEMORIAL MEDICAL CENTER,Hospital,469.0,Private,2921 NAGTAHAN STREET SANTA MESA,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",CITY OF MANILA,,+63 027151891,120.9842195,14.5995124
26,"DR. FE DEL MUNDO CENTER FOUNDATIONS PHILS., INC.",Hospital,493.0,Private,11 BANAWE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,DONA JOSEFA,+63 027120845,121.0098234,14.6188583
27,DR. JESUS C. DELGADO MEMORIAL HOSPITAL,Hospital,496.0,Private,7 KAMUNING ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KAMUNING,+63 029244051,121.0346058,14.6275302
28,DR. JOSE FABELLA MEMORIAL HOSPITAL,Hospital,499.0,Government,LOPE DE VEGA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,BARANGAY 311,+63 027345561,120.9841125,14.6064958
29,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,Hospital,502.0,Government,DR. UYGUANCO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 188,+63 029628209,121.0615081,14.7672921
30,DR. MIRANDO C. UNCIANO SR. MEDICAL CENTER,Hospital,507.0,Private,V. MAPA STREET SANTA MESA,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",CITY OF MANILA,,+63 027167291,120.9842195,14.5995124
31,DR. MONTANO G. RAMOS HOSPITAL,Hospital,508.0,Private,46 BUKIDNON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,RAMON MAGSAYSAY,+63 029276628,120.9992887,14.6670574
32,DR. SABILI HEALTH SERVICES CORPORATION,Hospital,519.0,Private,313 GENERAL SANTOS AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,LOWER BICUTAN,+63 028370917,121.0575971,14.488807
33,DR. VICTOR R. POTENCIANO MEDICAL CENTER,Hospital,523.0,Private,163 EDSA,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HIGHWAY HILLS,+63 025314911,121.050232,14.576852
34,D.T. PROTACIO HOSPITAL,Hospital,533.0,Private,484 QUIRINO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,TAMBO,+63 028522953,0.0,0.0
35,EAST AVENUE MEDICAL CENTER,Hospital,540.0,Government,"EAST AVENUE, DILIMAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CENTRAL,+63 024264405,121.0479354,14.6450291
36,FAIRVIEW GENERAL HOSPITAL,Hospital,546.0,Private,"LOT 20 FAIRVIEW AVENUE, CORNER MERCURY STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,FAIRVIEW,+63 029399689,121.0351681,14.6729695
37,GEN MIGUEL M. MALVAR MEDICAL FOUNDATION,Hospital,550.0,Private,531 COMMONWEALTH AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,MATANDANG BALARA,,121.0786266,14.6713035
38,HOSPITAL OF THE INFANT JESUS,Hospital,572.0,Private,1556 LAON - LAAN STREET,1008.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027312771,0.0,0.0
39,JAVILLONAR CLINIC & HOSPITAL,Hospital,581.0,Private,#73 DR. PILAPIL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAGAD,+63 026412303,121.078279,14.565285
40,JESUS IMMACULATE CONCEPCION HOSPITAL,Hospital,582.0,Private,"KATIPUNAN AVE., MARIKINA HEIGHTS. SUBD.",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,MARIKINA HEIGHTS (CONCEPCION),+63 029400419,121.1140247,14.6687369
41,JOHN PAUL HOSPITAL,Hospital,585.0,Private,MARIANO PONCE COR. TIRAD PASS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 135,+63 023618959,120.9922924,14.6591688
42,JOSE R. REYES MEMORIAL MEDICAL CENTER,Hospital,586.0,Government,"SAN LAZARO COMPOUND, RIZAL AVENUE",1003.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,BARANGAY 311,+63 027119491,120.9826311,14.6143945
43,KC CALDERON HOSPITAL,Hospital,600.0,Private,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,HEN. T. DE LEON,+63 022913721,120.9923524,14.6862878
44,"LADY OF LOURDES HOSPITAL OF CAYBIGA, INC.",Hospital,608.0,Private,GEN. LUIS STREET CAYBIGA,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 166,+63 029835582,121.0128161,14.7194904
45,"LAS PIÑAS DOCTORS HOSPITAL, INC.",Hospital,614.0,Private,"8009 J.I. AGUILAR AVENUE, CAA ROAD",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PULANG LUPA DOS,+63 028255236,0.0,0.0
46,LAS PIÑAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER,Hospital,615.0,Government,"BERNABE COMPOUND, REAL STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PULANG LUPA UNO,+63 028730557,0.0,0.0
47,MAKATI MEDICAL CENTER,Hospital,637.0,Private,"2 AMORSOLO, LEGASPI VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,SAN LORENZO,+63 028888999,121.0220487,14.5374923
48,MARIKINA VALLEY MEDICAL CENTER,Hospital,648.0,Private,"SUMULONG HIGHWAY, COR. AGUINALDO STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SANTO NI??O,+63 026822222,121.1035817,14.63457
49,"MARY CHILES GENERAL HOSPITAL, INC.",Hospital,650.0,Private,667 GASTAMBIDE STREET,1008.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 404,+63 027413941,120.990007,14.6039835
50,TAGUIG DOCTORS HOSPITAL,Hospital,6084.0,Private,184 M.L. QUEZON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,BAGUMBAYAN,+63 028370178,121.0632537,14.4989545
51,UNIVERSITY HEALTH SERVICES,Hospital,6092.0,Government,"J.P. LAUREL AVENUE CORNER APACIBLE & AGONCILLO STREET, UP CAMPUS",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,U.P. CAMPUS,+63 029283608,121.065041,14.6526624
52,ARKONG BATO HEALTH CENTER,Rural Health Unit,6097.0,Government,E. GABRIEL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,ARKONG BATO,+63 022773748,120.9406849,14.6828903
53,BAGONG BARRIO ZONE III HEALTH CENTER,Rural Health Unit,6100.0,Government,"207 EAST BAGONG BARRIO, MALOLOS AVE.",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 157,,121.0007493,14.6679785
54,BAGONG SILANG PHASE I HEALTH CENTER,Rural Health Unit,6101.0,Government,BAGONG SILANG PHASE 1,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,,121.0382467,14.7841046
55,BAGONG TANYAG HEALTH CENTER,Rural Health Unit,6102.0,Government,PUROK 4,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,TANYAG (BAGONG TANYAG),,121.0525078,14.4771498
56,BO. MAGSAYSAY HEALTH CENTER,Rural Health Unit,6106.0,Government,300 HERBOSA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 85,+63 022568124,120.965106,14.618403
57,ONSE HEALTH CENTER,Rural Health Unit,6108.0,Government,PANGANIBAN STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,ONSE,+63 027251202,121.0317183,14.6009734
58,CAA-B HEALTH CENTER,Rural Health Unit,6109.0,Government,CORNER RECEIVER STREET/ TIMOG STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,B. F. INTERNATIONAL VILLAGE,+63 028297212,0.0,0.0
59,D. BELMONTE HEALTH CENTER,Rural Health Unit,6113.0,Government,1648 P. FLORENTINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 478,+63 027313632,120.99306,14.611897
60,DAPITAN HEALTH CENTER,Rural Health Unit,6116.0,Government,INSTRUCCION CORNER P. MARGAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 502,+63 027412078,120.9965161,14.6171361
61,JOSE VICENCIO HEALTH CENTER,Rural Health Unit,6121.0,Government,309 A. BAUTISTA STREET PUNTA,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,BARANGAY 894,+63 025346807,121.0202502,14.588428
62,SANTA CRUZ HEALTH CENTER,Rural Health Unit,6141.0,Government,1339 KAPITAN ATO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTA CRUZ,+63 026426723,121.0851097,14.5763768
63,SINGKAMAS HEALTH CENTER,Rural Health Unit,6146.0,Government,3816 F. NAZARIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,SINGKAMAS,+63 028953472,121.0113194,14.5734704
64,WAWANG PULO HEALTH CENTER,Rural Health Unit,6160.0,Government,F. ANDAYA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,WAWANG PULO,,120.929543,14.7315426
65,E. SANTOS HEALTH CENTER,Rural Health Unit,6428.0,Government,E. SANTOS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PINAGBUHATAN,,121.0736275,14.5562995
66,PINAGBUHATAN PUERICULTURE CENTER,Rural Health Unit,6429.0,Government,P.CATTLEYA M.H. DEL PILAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PINAGBUHATAN,,121.1037701,14.5365375
67,NODADO GENERAL HOSPITAL,Hospital,6502.0,Private,"CAPTAIN SAMANO STREET AREA A, CAMARIN",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 175,+63 029628021,0.0,0.0
68,SAN JOSE HEALTH CENTER,Rural Health Unit,6547.0,Government,SITIO II,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,SAN JOSE,,121.0297473,14.581701
69,MARKVIM HOSPITAL,Hospital,6580.0,Private,DAHLIA STREET ALAR SUBD.,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 177,+63 029615302,121.0496742,14.7496082
70,NEWMAN HOMECARE AND REHAB CENTER INC,Hospital,6584.0,Private,"37 FAIRLANE STREET, CORNER CORONEL STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,+63 024279405,121.0437003,14.6760413
71,TONDO MEDICAL CENTER,Hospital,6596.0,Government,KALAKAL STREET,1012.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 126,+63 022518420,0.0,0.0
72,BARITAN HEALTH CENTER,Rural Health Unit,6598.0,Government,JAVIER II STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,BARITAN,,120.9464209,14.6732472
73,F.Y. MANALO MEDICAL FOUNDATION INC.- NEW ERA GENERAL HOSPITAL,Hospital,6711.0,Private,"DON MARIANO MARCOS, COMMONWEALTH AVE. COR TANDANG SORA",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NEW ERA (CONSTITUTION HILLS),+63 029244311,121.0934847,14.6938615
74,D. SANTIAGO HEALTH CENTER,Rural Health Unit,6723.0,Government,844 D. SANTIAGO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027130848,121.0081167,14.6038271
75,PLAINVIEW HEALTH CENTER,Rural Health Unit,6850.0,Government,42 MALAYA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLAINVIEW,,121.0358325,14.5766749
76,OSPITAL NG TONDO,Hospital,6888.0,Government,JOSE ABAD SANTOS AVENUE,1012.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 215,+63 022519406,120.9786044,14.6264328
77,SUNSHINE.COM.INC,Hospital,6896.0,Private,95 4TH STREET NEW MANILA,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,+63 027217767,121.0437003,14.6760413
78,LAWANG BATO HEALTH CENTER,Rural Health Unit,6910.0,Government,CENTRO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,LAWANG BATO,+63 024452950,120.9928627,14.7277013
79,MALINTA HEALTH CENTER,Rural Health Unit,6911.0,Government,SAINT JUDE SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MALINTA,+63 024451406,120.9641549,14.6890818
80,MAPULANG LUPA HEALTH CENTER (MAIN),Rural Health Unit,6912.0,Government,SANTO ROSARIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MAPULANG LUPA,+63 029843248,121.0034046,14.7018712
81,PALASAN HEALTH CENTER,Rural Health Unit,6913.0,Government,F. LOZADA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PALASAN,+63 022779619,120.9489091,14.7021317
82,EAST REMBO HEALTH CENTER,Rural Health Unit,6986.0,Government,"MULTIPURPOSE BUILDING, 23RD AVENUE",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,EAST REMBO,+63 028833361,121.0626294,14.5517915
83,F. LANUZA HEALTH CENTER,Rural Health Unit,7021.0,Government,1533 ALVAREZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,BARANGAY 334,+63 027119872,120.9801688,14.6123606
84,ESCOPA HEALTH CENTER,Rural Health Unit,7029.0,Government,J. P. BURGOS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,ESCOPA I,+63 029138846,121.0956068,14.6362977
85,SALAPAN HEALTH CENTER,Rural Health Unit,7035.0,Government,35 J. RUIZ STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,SALAPAN,+63 027440346,121.024977,14.6120282
86,BALONG BATO HEALTH CENTER,Barangay Health Station,7043.0,Government,19 F. ROMAN STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,BALONG-BATO,+63 027239561,121.024026,14.6071414
87,DOÑA BETANG HEALTH CENTER,Rural Health Unit,7062.0,Government,KALAKHAM CORNER KALUPI STREET DOÑA BETANG SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTOLAN,,121.0879674,14.6130735
88,SAN LORENZO RUIZ WOMEN'S HOSPITAL,Hospital,7064.0,Government,"ROSITA SUBDIVISION, O. REYES STREET",1478.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,SANTOLAN,+63 029448535,120.9582324,14.6897504
89,"JP SIOSON GENERAL HOSPITAL AND COLLEGES, INC",Hospital,7081.0,Private,"75 BUKIDNON STREET, BAGO BANTAY",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,RAMON MAGSAYSAY,+63 029275643,120.9992887,14.6670574
90,KAHILUM HEALTH CENTER,Rural Health Unit,7124.0,Government,FELIZ STREET KAHILUM I,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PANDACAN,BARANGAY 870,+63 025648401,121.0050176,14.5837075
91,PAYATAS A HEALTH CENTER,Rural Health Unit,7146.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PAYATAS,,121.09935,14.7091169
92,BANLAT HEALTH CENTER,Rural Health Unit,7165.0,Government,"DAFFODIL STREET, DEL NACIA 1",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,TANDANG SORA,+63 024913362,121.0421102,14.6819218
93,KAUNLARAN VILLAGE HEALTH CENTER,Rural Health Unit,7250.0,Government,"BANGUS STREET, PHASE I DAGAT DAGATAN",1409.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,"NORTH BAY BLVD., SOUTH",,120.9559284,14.6417937
94,SANTO NIÑO HEALTH CENTER,Rural Health Unit,7252.0,Government,"DAHLIA STREET CORNER COL. E, DE LEON STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SANTO NI??O,+63 028534047,0.0,0.0
95,SANTA CRUZ HEALTH CENTER,Rural Health Unit,7253.0,Government,3942 YAGUE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,SANTA CRUZ,+63 028951697,121.016065,14.568237
96,MAYBUNGA FLOODWAY HEALTH CENTER,Rural Health Unit,7254.0,Government,WESTBANK ROAD CORNER F. LEGASPI EXTENSION,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MAYBUNGA,,121.0850494,14.5762821
97,SAN MARTIN DE PORRES HEALTH CENTER,Rural Health Unit,7255.0,Government,"KM 15, EAST SERVICE ROAD",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN MARTIN DE PORRES,+63 028244043,0.0,0.0
98,FAIRVIEW HEALTH CENTER,Rural Health Unit,7256.0,Government,DAHLIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,FAIRVIEW,+63 029300040,121.049018,14.7110086
