Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,,Barangay Name,Landline Number,lon,lat,Barangay,level, PRCP, BedSpace, OpRoom, RecRoom, MatWard, IsoRoom, dental, blood, pathology, radiology, pharmacy, CMDCDH_2, Spec1, ICU, NICU, HRPU, RTS, TerClin, MobX, Teach_3, PRU, ASC, Dialysis, BBank, Hispa, radiology3
QUINTIN DE BORJA HEALTH CENTER,Rural Health Unit,201,Government,E. QUIOGUE STREET,,PATEROS,AGUHO,+63 026424783,121.0625148,14.543509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAÑONG HEALTH CENTER,Rural Health Unit,202,Government,ROAD 1,,MARIKINA,TAÑONG,+63 029485775,121.0862565,14.632859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERNARDINO GENERAL HOSPITAL II,Hospital,430,Private,"BLOCK 1, LOT 2, NORTH OLYMPUS SUBDIVISION, ZABARTE ROAD",,QUEZON ,KALIGAYAHAN,+63 029355262,121.0475122,14.7370828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DR. FE DEL MUNDO CENTER FOUNDATIONS PHILS., INC.",Hospital,493,Private,11 BANAWE STREET,,QUEZON ,DONA JOSEFA,+63 027120845,121.0098234,14.6188583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR. JOSE FABELLA MEMORIAL HOSPITAL,Hospital,499,Government,LOPE DE VEGA STREET,,MANILA,BARANGAY 311,+63 027345561,120.9841125,14.6064958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,Hospital,502,Government,DR. UYGUANCO AVENUE,,CALOOCAN ,BARANGAY 188,+63 029628209,121.0615081,14.7672921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR. SABILI HEALTH SERVICES CORPORATION,Hospital,519,Private,313 GENERAL SANTOS AVENUE,,TAGUIG,LOWER BICUTAN,+63 028370917,121.0575971,14.488807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR. VICTOR R. POTENCIANO MEDICAL CENTER,Hospital,523,Private,163 EDSA,,MANDALUYONG,HIGHWAY HILLS,+63 025314911,121.050232,14.576852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST AVENUE MEDICAL CENTER,Hospital,540,Government,"EAST AVENUE, DILIMAN",,QUEZON ,CENTRAL,+63 024264405,121.0479354,14.6450291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN MIGUEL M. MALVAR MEDICAL FOUNDATION,Hospital,550,Private,531 COMMONWEALTH AVENUE,,QUEZON ,MATANDANG BALARA,,121.0786266,14.6713035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JESUS IMMACULATE CONCEPCION HOSPITAL,Hospital,582,Private,"KATIPUNAN AVE., MARIKINA HEIGHTS. SUBD.",,MARIKINA,MARIKINA HEIGHTS (CONCEPCION),+63 029400419,121.1140247,14.6687369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSE R. REYES MEMORIAL MEDICAL CENTER,Hospital,586,Government,"SAN LAZARO COMPOUND, RIZAL AVENUE",1003,MANILA,BARANGAY 311,+63 027119491,120.9826311,14.6143945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY HEALTH SERVICES,Hospital,6092,Government,"J.P. LAUREL AVENUE CORNER APACIBLE & AGONCILLO STREET, UP CAMPUS",,QUEZON ,U.P. CAMPUS,+63 029283608,121.065041,14.6526624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARKONG BATO HEALTH CENTER,Rural Health Unit,6097,Government,E. GABRIEL STREET,,VALENZUELA,ARKONG BATO,+63 022773748,120.9406849,14.6828903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG BARRIO ZONE III HEALTH CENTER,Rural Health Unit,6100,Government,"207 EAST BAGONG BARRIO, MALOLOS AVE.",,CALOOCAN ,BARANGAY 157,,121.0007493,14.6679785,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG SILANG PHASE I HEALTH CENTER,Rural Health Unit,6101,Government,BAGONG SILANG PHASE 1,,CALOOCAN ,BARANGAY 176,,121.0382467,14.7841046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG TANYAG HEALTH CENTER,Rural Health Unit,6102,Government,PUROK 4,,TAGUIG,TANYAG (BAGONG TANYAG),,121.0525078,14.4771498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BO. MAGSAYSAY HEALTH CENTER,Rural Health Unit,6106,Government,300 HERBOSA STREET,,MANILA,BARANGAY 85,+63 022568124,120.965106,14.618403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONSE HEALTH CENTER,Rural Health Unit,6108,Government,PANGANIBAN STREET,1500,SAN JUAN,ONSE,+63 027251202,121.0317183,14.6009734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. BELMONTE HEALTH CENTER,Rural Health Unit,6113,Government,1648 P. FLORENTINO STREET,,MANILA,BARANGAY 478,+63 027313632,120.99306,14.611897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPITAN HEALTH CENTER,Rural Health Unit,6116,Government,INSTRUCCION CORNER P. MARGAL STREET,,MANILA,BARANGAY 502,+63 027412078,120.9965161,14.6171361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSE VICENCIO HEALTH CENTER,Rural Health Unit,6121,Government,309 A. BAUTISTA STREET PUNTA,,MANILA,BARANGAY 894,+63 025346807,121.0202502,14.588428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANILA HEALTH CENTER,Rural Health Unit,6141,Government,1339 KAPITAN ATO,,PASIG,MANILA,+63 026426723,121.0851097,14.5763768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGKAMAS HEALTH CENTER,Rural Health Unit,6146,Government,3816 F. NAZARIO STREET,,MAKATI,SINGKAMAS,+63 028953472,121.0113194,14.5734704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAWANG PULO HEALTH CENTER,Rural Health Unit,6160,Government,F. ANDAYA STREET,,VALENZUELA,WAWANG PULO,,120.929543,14.7315426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. SANTOS HEALTH CENTER,Rural Health Unit,6428,Government,E. SANTOS STREET,,PASIG,PINAGBUHATAN,,121.0736275,14.5562995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINAGBUHATAN PUERICULTURE CENTER,Rural Health Unit,6429,Government,P.CATTLEYA M.H. DEL PILAR STREET,,PASIG,PINAGBUHATAN,,121.1037701,14.5365375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JOSE HEALTH CENTER,Rural Health Unit,6547,Government,SITIO II,,MANDALUYONG,SAN JOSE,,121.0297473,14.581701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWMAN HOMECARE AND REHAB CENTER INC,Hospital,6584,Private,"37 FAIRLANE STREET, CORNER CORONEL STREET",,QUEZON ,,+63 024279405,121.0437003,14.6760413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARITAN HEALTH CENTER,Rural Health Unit,6598,Government,JAVIER II STREET,,MALABON,BARITAN,,120.9464209,14.6732472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.Y. MANALO MEDICAL FOUNDATION INC.- NEW ERA GENERAL HOSPITAL,Hospital,6711,Private,"DON MARIANO MARCOS, COMMONWEALTH AVE. COR TANDANG SORA",,QUEZON ,NEW ERA (CONSTITUTION HILLS),+63 029244311,121.0934847,14.6938615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. SANTIAGO HEALTH CENTER,Rural Health Unit,6723,Government,844 D. SANTIAGO STREET,,MANILA,,+63 027130848,121.0081167,14.6038271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAINVIEW HEALTH CENTER,Rural Health Unit,6850,Government,42 MALAYA STREET,,MANDALUYONG,PLAINVIEW,,121.0358325,14.5766749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPITAL NG TONDO,Hospital,6888,Government,JOSE ABAD SANTOS AVENUE,1012,MANILA,BARANGAY 215,+63 022519406,120.9786044,14.6264328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE.COM.INC,Hospital,6896,Private,95 4TH STREET NEW MANILA,,QUEZON ,,+63 027217767,121.0437003,14.6760413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAWANG BATO HEALTH CENTER,Rural Health Unit,6910,Government,CENTRO STREET,,VALENZUELA,LAWANG BATO,+63 024452950,120.9928627,14.7277013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALINTA HEALTH CENTER,Rural Health Unit,6911,Government,SAINT JUDE SUBDIVISION,,VALENZUELA,MALINTA,+63 024451406,120.9641549,14.6890818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPULANG LUPA HEALTH CENTER (MAIN),Rural Health Unit,6912,Government,SANTO ROSARIO STREET,,VALENZUELA,MAPULANG LUPA,+63 029843248,121.0034046,14.7018712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALASAN HEALTH CENTER,Rural Health Unit,6913,Government,F. LOZADA STREET,,VALENZUELA,PALASAN,+63 022779619,120.9489091,14.7021317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST REMBO HEALTH CENTER,Rural Health Unit,6986,Government,"MULTIPURPOSE BUILDING, 23RD AVENUE",,MAKATI,EAST REMBO,+63 028833361,121.0626294,14.5517915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. LANUZA HEALTH CENTER,Rural Health Unit,7021,Government,1533 ALVAREZ STREET,,MANILA,BARANGAY 334,+63 027119872,120.9801688,14.6123606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCOPA HEALTH CENTER,Rural Health Unit,7029,Government,J. P. BURGOS STREET,,QUEZON ,ESCOPA I,+63 029138846,121.0956068,14.6362977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALAPAN HEALTH CENTER,Rural Health Unit,7035,Government,35 J. RUIZ STREET,1500,SAN JUAN,SALAPAN,+63 027440346,121.024977,14.6120282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALONG BATO HEALTH CENTER,Barangay Health Station,7043,Government,19 F. ROMAN STREET,1500,SAN JUAN,BALONG-BATO,+63 027239561,121.024026,14.6071414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOÑA BETANG HEALTH CENTER,Rural Health Unit,7062,Government,KALAKHAM CORNER KALUPI STREET DOÑA BETANG SUBDIVISION,,PASIG,SANTOLAN,,121.0879674,14.6130735,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LORENZO RUIZ WOMEN'S HOSPITAL,Hospital,7064,Government,"ROSITA SUBDIVISION, O. REYES STREET",1478,MALABON,SANTOLAN,+63 029448535,120.9582324,14.6897504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAHILUM HEALTH CENTER,Rural Health Unit,7124,Government,FELIZ STREET KAHILUM I,,MANILA,BARANGAY 870,+63 025648401,121.0050176,14.5837075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYATAS A HEALTH CENTER,Rural Health Unit,7146,Government,,,QUEZON ,PAYATAS,,121.09935,14.7091169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANLAT HEALTH CENTER,Rural Health Unit,7165,Government,"DAFFODIL STREET, DEL NACIA 1",,QUEZON ,TANDANG SORA,+63 024913362,121.0421102,14.6819218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAUNLARAN VILLAGE HEALTH CENTER,Rural Health Unit,7250,Government,"BANGUS STREET, PHASE I DAGAT DAGATAN",1409,NAVOTAS,"NORTH BAY BLVD., SOUTH",,120.9559284,14.6417937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANILA HEALTH CENTER,Rural Health Unit,7253,Government,3942 YAGUE STREET,,MAKATI,MANILA,+63 028951697,121.016065,14.568237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYBUNGA FLOODWAY HEALTH CENTER,Rural Health Unit,7254,Government,WESTBANK ROAD CORNER F. LEGASPI EXTENSION,,PASIG,MAYBUNGA,,121.0850494,14.5762821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIRVIEW HEALTH CENTER,Rural Health Unit,7256,Government,DAHLIA STREET,,QUEZON ,FAIRVIEW,+63 029300040,121.049018,14.7110086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTOLAN HEALTH CENTER,Rural Health Unit,7257,Government,SAN DIEGO STREET,1478,MALABON,SANTOLAN,+63 022814999,120.9582324,14.6897504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIUGAN HEALTH CENTER,Rural Health Unit,7258,Government,N. VICENCIO STREET,,MALABON,NIUGAN,,120.955261,14.6677722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLONIO SAMSON HEALTH CENTER,Rural Health Unit,7259,Government,150 KAINGIN ROAD,,QUEZON ,APOLONIO SAMSON,,121.009752,14.6504927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GULOD HEALTH CENTER,Rural Health Unit,7260,Government,27 VILLAFLOR VILLAGE,,QUEZON ,GULOD,,121.0389062,14.7118847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JOSE HEALTH CENTER,Rural Health Unit,7261,Government,LOPEZ JAENA STREET,,PASIG,SAN JOSE,+63 026402355,121.0665288,12.3508725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES HEALTH CENTER,Rural Health Unit,7263,Government,NUEVA STREET,1471,MALABON,FLORES,+63 022822227,120.943229,14.6737949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONGOS HEALTH CENTER,Rural Health Unit,7264,Government,HITO STREET,1472,MALABON,LONGOS,,120.9613471,14.6507322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUZON HEALTH CENTER,Rural Health Unit,7266,Government,2 KARUNUNGAN STREET,1479,MALABON,MUZON,,120.9500687,14.6762919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN MIGUEL HEALTH CENTER,Rural Health Unit,7267,Government,MARKET AVENUE,,PASIG,SAN MIGUEL,,121.0859757,14.5680549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA LOMA HEALTH CENTER,Rural Health Unit,7268,Government,225 MARIVELES STREET,,QUEZON ,PAANG BUNDOK,,120.9909157,14.6272329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYAN-BAYANAN HEALTH CENTER,Rural Health Unit,7269,Government,117 CELIA STREET,,MALABON,BAYAN-BAYANAN,,120.9698964,14.6703279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPRI HEALTH CENTER,Rural Health Unit,7270,Government,A-5 NARRA STREET,,QUEZON ,CAPRI,,121.0288757,14.7128711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN NICOLAS HEALTH CENTER,Rural Health Unit,7271,Government,M.H. DEL PILAR STREET,,PASIG,SAN NICOLAS (POB.),+63 029002062,121.0804452,14.5608541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBABA HEALTH CENTER,Rural Health Unit,7272,Government,TIANGCO STREET,,MALABON,IBABA,+63 022838091,120.9512351,14.6648807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT 6 HEALTH CENTER,Rural Health Unit,7273,Government,ALLEY 3 CORNER ROAD 8,,QUEZON ,PROJECT 6,,121.0409915,14.6617793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANGHULO HEALTH CENTER,Rural Health Unit,7274,Government,PANGHULO ROAD CORNER AGUILAR STREET,,MALABON,PANGHULO,,120.9517779,14.6861671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYSILO HEALTH CENTER,Rural Health Unit,7275,Government,M.H. DEL PILAR STREET YANGA,1477,MALABON,MAYSILO,,120.9575153,14.6775532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALTOK HEALTH CENTER,Rural Health Unit,7276,Government,14 MATIAS STREET,,QUEZON ,PALTOK,,121.021844,14.642568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGKAISANG NAYON HEALTH CENTER,Rural Health Unit,7277,Government,"14 TERIO STREET, FB DE JESUS SUBDIVISION",,QUEZON ,NAGKAISANG NAYON,,121.0234757,14.719623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGONG HEALTH CENTER,Rural Health Unit,7278,Government,"F. LEGASPI STREET, BARANGAY HALL COMPOUND",,PASIG,UGONG,+63 026714071,121.0725732,14.5829434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN ANTONIO HEALTH CENTER,Rural Health Unit,7279,Government,1 JUAN DE JESUS STREET,,QUEZON ,SAN ANTONIO,,121.0628734,14.6087899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT 7 HEALTH CENTER,Rural Health Unit,7280,Government,39 BANSALANGIN STREET,,QUEZON ,VETERANS VILLAGE,,121.0234757,14.6549042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG LIPUNAN HEALTH CENTER,Rural Health Unit,7281,Government,LOS MATIREZ STREET,1485,NAVOTAS,SAN JOSE (POB.),,120.9431713,14.6615313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATMON HEALTH CENTER,Rural Health Unit,7282,Government,SANCIANGCO STREET,,MALABON,CATMON,,120.9603858,14.6702086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL ROXAS HEALTH CENTER,Rural Health Unit,7283,Government,GENERAL MADRE DE SILVA STREET CORNER JASMINE STREET,,QUEZON ,ROXAS,+63 023742615,121.0213254,14.6274013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUADALUPE VIEJO HEALTH CENTER,Rural Health Unit,7284,Government,CAMIA STREET CORNER GUMAMELA STREET,,MAKATI,GUADALUPE VIEJO,+63 028972995,121.0406769,14.564421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIA HEALTH CENTER,Rural Health Unit,7285,Government,MARIA CLARA STREET CORNER KAPITAN TIAGO,1474,MALABON,ACACIA,,120.9693926,14.6673416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN ANTONIO HEALTH CENTER,Rural Health Unit,7287,Government,"7 GENERAL MALVAR STREET, SAN ANTONIO VILLAGE",,PASIG,SAN ANTONIO,+63 026336133,121.0614584,14.5827072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TONSUYA HEALTH CENTER,Rural Health Unit,7288,Government,A. ROQUE STREET,1473,MALABON,TONSUYA,+63 023518038,120.9590814,14.662976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JOSE HEALTH CENTER,Rural Health Unit,7289,Government,27 TINAGAN STREET,,QUEZON ,SAN JOSE,,120.9944175,14.6395586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN AGUSTIN HEALTH CENTER,Rural Health Unit,7290,Government,LUNA I STREET,,MALABON,SAN AGUSTIN,,120.9513254,14.6617822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERA HEALTH CENTER,Barangay Health Station,7291,Government,RIVERA CORNER KATUBUSAN STREET,1500,SAN JUAN,RIVERA,+63 027443891,121.0216838,14.6056797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN PERFECTO HEALTH CENTER,Barangay Health Station,7292,Government,SAN PERFECTO STREET,1500,SAN JUAN,SAN PERFECTO,+63 027237027,121.0222218,14.6032365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERMITAÑO HEALTH CENTER,Barangay Health Station,7293,Government,185 F. SANTOS STREET,1500,SAN JUAN,ERMITA??O,+63 027442015,121.0299265,14.6119076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG KATIPUNAN HEALTH CENTER,Rural Health Unit,7294,Government,14 A. BONIFACIO STREET,,PASIG,BAGONG KATIPUNAN,,121.0994854,14.5456259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPCION HEALTH CENTER,Rural Health Unit,7296,Government,LIWAYWAY STREET,,VALENZUELA,MARULAS,+63 024450672,120.9712725,14.666708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JOAQUIN HEALTH CENTER,Rural Health Unit,7297,Government,4D ELISCO ROAD,,PASIG,SAN JOAQUIN,+63 026439657,121.0754327,14.5513046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMPALIT HEALTH CENTER,Rural Health Unit,7298,Government,"1 DIAZ STREET, MERVILLE SUBDIVISION",1480,MALABON,DAMPALIT,+63 022814999,120.9331295,14.6927951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANBO HEALTH CENTER,Rural Health Unit,7299,Government,ORANBO DRIVE STREET,,PASIG,ORANBO,+63 026359027,121.0643245,14.5758223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUBAO HEALTH CENTER,Rural Health Unit,7301,Government,22 BANAHAW STREET,,QUEZON ,KAUNLARAN,,121.0464101,14.6178933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CULIAT HEALTH CENTER (WENCESLAO DELA PAZ),Rural Health Unit,7302,Government,"SANTA FELICIA STREET, SAN ANTONIO HOMES",,QUEZON ,CULIAT,+63 029314965,121.0535762,14.669878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAESA HEALTH CENTER,Rural Health Unit,7303,Government,MENDEZ ROAD,,QUEZON ,BAESA,,121.0129667,14.6687859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORO HILLS HEALTH CENTER,Rural Health Unit,7304,Government,"ROAD 11, PROJECT 8",,QUEZON ,BAHAY TORO,+63 023522486,121.0212459,14.6641189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TINAJEROS HEALTH CENTER,Rural Health Unit,7308,Government,CRISPIN STREET,,MALABON,TINAJEROS,,120.9696822,14.6709011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANZA HEALTH CENTER,Rural Health Unit,7309,Government,93 SILAHIS STREET,1490,NAVOTAS,TANZA,,120.9159131,14.7005081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUGATOG HEALTH CENTER,Rural Health Unit,7310,Government,ECONOMIA STREET CORNER INDUSTRIA STREET,,MALABON,TUGATOG,+63 022850732,120.9698675,14.6652832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN ROQUE HEALTH CENTER,Rural Health Unit,7311,Government,GOVERNOR PASCUAL STREET,1485,NAVOTAS,SAN ROQUE,,120.9385643,14.6701052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGUMBAYAN NORTH HEALTH CENTER,Rural Health Unit,7329,Government,C4 ROAD,1485,NAVOTAS,BAGUMBAYAN NORTH,,120.9507021,14.6523331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALIGAYA HEALTH CENTER,Rural Health Unit,7330,Government,"PECHAYAN STREET, MALIGAYA PARK SUBDIVISION",,QUEZON ,PASONG PUTIK PROPER (PASONG PUTIK),,121.0496349,14.7212565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALINAO HEALTH CENTER,Rural Health Unit,7333,Government,TATCO STREET,,PASIG,MALINAO,+63 026416672,121.0786541,14.5595012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATIS HEALTH CENTER,Rural Health Unit,7339,Government,428 F. MANALO STREET,1500,SAN JUAN,BATIS,+63 027000830,121.024973,14.598366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL GOVERNMENT CENTER,Rural Health Unit,7341,Government,MRB PILOT AREA,,QUEZON ,COMMONWEALTH,,121.0822362,14.6966972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL CENTER FOR MENTAL HEALTH,Hospital,7359,Government,"9 DE PEBRERO STREET,",,MANDALUYONG,MAUWAY,+63 025319001,121.037943,14.587759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMADO T. REYES HEALTH CENTER,Rural Health Unit,7460,Government,A. LUNA STREET,,MANDALUYONG,BUROL,,121.0219848,14.5879758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARANG HEALTH CENTER,Rural Health Unit,7461,Government,LAKANDULA STREET COR. M.L. QUEZON STREET,,MARIKINA,PARANG,+63 029430463,121.1137618,14.6602111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVINE MERCY THE HOME THAT CARES INC,Hospital,7506,Private,515 KATARUNGAN STREET,,MANDALUYONG,PLAINVIEW,+63 025326995,121.035212,14.57509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
